,Hospital_Norm,Traffic_Norm,Enforcement_Norm,Fire_Norm,Roads_Norm,Median_Age_Norm,Crude Depression Prevalence Estimate_Norm,Average_Family_Size_Norm,Population_Density_Norm,Shannon_Weiner,Percent_Male,Percent_H,Overdoses,County Name
2871,1.5014663406758277e-06,0.005551255251200269,2.7589444009918333e-06,1.4889541211701958e-06,0.008251673107435832,0.596606299011469,0.7152777777777778,0.8195574426163543,0.028179459991182133,0.4324438969497332,0.5095865735308217,0.1892846967256169,17202.0,EL PASO
2875,5.138580771343065e-05,0.044174184963174004,0.0008093264714865326,0.0002697754904955109,0.01564463225365545,0.7604596527068437,0.6631944444444445,0.7412886669440977,0.00010862166056646297,0.1978171786356604,0.5115651642145401,0.0924133961653296,128.0,ELBERT
2879,1.8409242872450083e-05,0.01483847808073865,0.0003865941003214518,0.0001288647001071506,0.016494969252394992,0.8312916234589238,0.670138888888889,0.6977295842526092,0.0001911714875661331,0.2094496526560117,0.5022531749283081,0.0458828349037279,297.0,ELK
2883,4.586382064284547e-06,0.011638321873044205,6.420934889998366e-05,1.3376947687496595e-05,0.028186772091035373,0.6345454545454545,0.7638888888888888,0.7975308641975309,0.004058133146135152,0.2874800736532625,0.4974189182657451,0.1812799071970612,1315.0,ELKHART
2885,9.691940400844795e-06,0.013618888343238099,8.141229936709628e-05,2.9398885882562543e-05,0.013749728071165764,0.634794163365592,0.6493055555555555,0.7838464314654792,0.001534076029452165,0.1928522023981392,0.5057530838602674,0.0695207491102588,802.0,ELLIS
2894,0.00011834854899831888,0.03433225822862441,0.0004142199214941161,0.000506268792937253,0.004253768406658969,0.5454545454545454,0.8993055555555555,0.7679012345679014,2.3510912967504944e-05,0.430682830440654,0.4878465437736565,0.0317988455053984,260.0,ELMORE
2898,4.815597143907136e-05,0.03325665337045027,0.0010112754002204985,0.00016854590003674975,0.019106250452668935,0.6690909090909091,0.7569444444444444,0.7654320987654323,8.714466202990371e-05,0.4907126092928198,0.5058223210781106,0.0495878581708753,0.0,EMANUEL
2899,3.838103552426825e-05,0.03438250504401026,0.0004030008730048166,0.0001455280930295171,0.030908609714782573,0.756938040897603,0.5833333333333334,0.7111111111111111,0.0003399856029400692,0.1900769006685111,0.5114428945074107,0.1040758500435919,0.0,EMMET
2905,1.311835417755304e-05,0.007171231746535435,2.582675978705755e-05,6.361035280886396e-05,0.021779016453123554,0.7310443604535508,0.6979166666666667,0.7309225490990627,0.0056758766449297934,0.4638439942355059,0.4878976588741381,0.0613209135526016,16159.0,ERIE
2914,6.6217333469564765e-06,0.016887988833612477,3.4764100071521505e-05,2.0858460042912902e-05,0.01777230370494957,0.6880197877831948,0.8611111111111112,0.7340674533629319,0.0032298321615159046,0.5602802941057936,0.5008454699176349,0.0265368461244749,7938.0,ESCAMBIA
2919,2.9042084084675546e-06,0.007018541744009604,2.959730039805905e-05,8.071991017652469e-06,0.04084146309730054,0.6902734051367024,0.6458333333333334,0.7889219607161245,0.13245922528197826,0.3977465893577026,0.4870166653238551,0.2385502593692091,13727.0,ESSEX
2946,0.00024794283605985835,0.08036963981590761,0.0039050996679427684,0.00043389996310475205,0.07056872291477181,0.6509090909090909,0.71875,0.780246913580247,6.261042884631383e-05,0.5212116383629369,0.4905095839177185,0.1248246844319775,0.0,EVANS
2949,8.63962859693309e-07,0.0060699058397929335,9.071610026779745e-06,3.2478603799581804e-06,0.021404294374513938,0.7119996761920182,0.5729166666666666,0.7835418796653584,0.047498317364375195,0.3697736217893281,0.5006691303760635,0.0268818524475438,11931.0,FAIRFIELD
2955,0.0012678302146008175,0.0819383179090612,0.003328054313327146,0.0033280543133271455,0.007540934870106112,0.9181818181818182,0.5347222222222222,0.6765432098765433,2.6395223715548267e-06,0.3409116960392435,0.5042062415196743,0.0423337856173677,0.0,FALL RIVER
2958,5.8453006762569e-05,0.02990391041784175,0.0006137565710069745,0.000136390349112661,0.018924418463745776,0.7987346437346438,0.7222222222222222,0.7195862529195863,0.00015538222918222368,0.1388394760550078,0.4936472782375568,0.031083653883514,134.0,FANNIN
2963,2.3823603857537448e-05,0.02311539672523173,8.338261350138108e-05,6.94855112511509e-05,0.01985967236810407,0.5745454545454546,0.8368055555555556,0.7506172839506173,0.0005271296854129053,0.3774004717953709,0.485497199702346,0.0473269886029843,763.0,FAULKNER
2965,1.2687190383812533e-05,0.013826218768785899,7.712476259633409e-05,4.32366093343085e-05,0.020110124650466178,0.7452502795855398,0.9652777777777778,0.7187461459780022,0.010383770218627207,0.3130668175732494,0.4923067378086611,0.0203499193448318,6830.0,FAYETTE
3087,4.0983291266013035e-05,0.023474294983303355,0.0006454868374397053,0.0003825107184827883,0.01632230008421395,0.7865977961432506,0.7743055555555556,0.7212495323606435,8.517138325184968e-05,0.1043829028861238,0.5070981600821892,0.0203605118147006,0.0,FILLMORE
3092,1.581192679067103e-05,0.038761482794523475,8.30126156510229e-05,2.7670871883674302e-05,0.026114674902985666,0.8636363636363636,0.673611111111111,0.6962962962962963,0.00036031800995476026,0.3727648521861062,0.4853636399510674,0.1178564381831814,1554.0,FLAGLER
3093,2.0247726441191534e-05,0.018861230646956804,7.086704254417036e-05,5.511881086768806e-05,0.01724611722766552,0.7085719777051702,0.7604166666666666,0.743653590165218,0.0005305088130320768,0.5401373180757814,0.4698327250385822,0.0311364018695006,1996.0,FLORENCE
3097,3.193371041268926e-05,0.03339929299238133,0.00027941996611103106,6.002354827570295e-05,0.031045527935974305,0.7328326503303506,0.736111111111111,0.7341090553908707,0.0028278050568430724,0.4185384233705296,0.4897177277435314,0.1230252506460987,2597.0,FLOYD
